1114.8272017837262, 299994.32038543484
3232.9988851728012, 294379.4534263492
4013.3779264214027, 285205.1720192977
6131.549609810481, 261249.69370650023
8026.755852842813, 235257.5056106478
9921.96209587514, 210284.2403677794
12040.133779264215, 187347.6849079659
14046.82274247492, 166449.5431155769
15942.028985507248, 148099.2764171044
17948.717948717953, 131786.28746314335
19955.40691192865, 117511.1442151503
22965.440356744715, 98645.73647562065
25975.473801560758, 82327.63586855098
28985.507246376823, 69066.30382043327
31884.057971014503, 57843.38543974009
39799.33110367894, 36405.68026366393
59866.220735785966, 11339.837303383916
79710.14492753625, 3596.818766744749
99777.03455964327, 947.2785721124383
