1000, -0.06931818181818179
3000, -0.11874999999999997
4000, -0.13693181818181815
6000, -0.16761363636363635
8000, -0.19261363636363635
10000, -0.21363636363636362
12000, -0.2318181818181818
14000, -0.24659090909090908
16000, -0.2585227272727273
18000, -0.2693181818181818
20000, -0.2755681818181818
23000, -0.2852272727272727
26000, -0.2914772727272727
29000, -0.29602272727272727
32000, -0.2988636363636364
40000, -0.3034090909090909
60000, -0.30568181818181817
80000, -0.30624999999999997
100000, -0.30624999999999997
